Блок,Подблок,Функция,Комменатрий,Этап,Дата начала,Продолжительность,Комментарий Александру
Загрузка файлов в систему,,Окно загрузки файлов в систему,,1,,,
,,Привязка докментов к моделям оборудования,,1,,,
,,Оцифровка и распознавание данных в файлах,,1,,,
,,,,,,,
Оценка качества данных,,Статус валидности заполненной информации,Документация взята из загруженного документа\найдена в интернете\сгенерированно предложение ИИ,1,,,
,,Процент достоверности ответа,,1,,,
,,"Источник информации (страница, ссылка веб и тд.)",,1,,,
,,Переход гиперссылкой на источник информации,,2,,,
,,Окно с выводом части документа на основании которого сгенирированны данные,,2,,,
,,"Галочка ""Проверено экспертом""",,1,,,
,,,,,,,
Правила нормализации,,Загрузка правил нормализации,,1,,,
,,Ручная корректировка правил нормализации в системе,,2,,,
,,,,,,,
"Обработка иерархии, моделей и классификации оборудования",Иерархия оборудования,Отображение иерархии оборудования из загруженного файла,,1,,,
,,Корректировка иерархии оборудования,,2,,,
,Формирование справочника моделей,Ведение справочника моделей,,1,,,
,,Загрузка спраочника моделей,,1,,,
,,Ручное создание справочника моделей,,1,,,
,Нормализация моделей оборудования,Нормализация моделей по правила,,1,,,
,Классификаия оборудования,Ведение справочника классификатора оборудования,,1,,,
,,Загрузка справочника классификатора оборудования,,1,,,
,,Классификация моделей на основании классификатора,,1,,,
,Обогащение данными из интернета,Классификация неопознаных моделей оборудования,,1,,,
,,,,,,,
Описание объектов иерархии,,Сплывающие карточки с описанием объектов,,2,,,
,,Настройка карточек с описание объектов,,2,,,
,,,,,,,
Массовая обработка моделей,Привязка характеристик к ТОР по справочнику,Загрузка справочника характеристик и единиц.измерения,,2,,,
,,Ведение справочника характеристик и единиц.измерения,,2,,,
,,Загрузка справочника характеристик для классов\подклассов оборудвания,,2,,,
,,"Ведение справочника характеристик и ед.змерений, для классов\подклассов оборудвания",Ручное,1,,,
,,Заполнение значений характеристик по источнику,,1,,,
,,Функционал обогащения значений характеристик из интернета,,1,,,
,,Пересчет значений ед.измерений в соответсвии с классификатором,,1,,,
,Аналоги моделей,Подбор аналогов моделей оборудования с характеристиками,,2,,,
,,,,,,,
Виды воздействий и периодичности,Формирование видов воздействий и периодичностей,Ведение справочников видов воздействи и периодичностей,,1,,,
,,Загрузка видов воздействий и периодичностей на модели,,2,,,
,,Нормализация видов воздействий и периодичностей на модели,,2,,,
,,Заполнение вида воздействий и периодичностей по источнику,,1,,,
,,Функционал обогащения видов воздействий и периодичнсотей из интернета,,1,,,
,,,,,,,
Разработка ТК на ТОР,Справочник компонентов,Загрузка справочника компонентов и операций оборудования,"Отдельный справочник компонентов и операций, а так же спарвочник в привязке к классам\подклассам оборудования",3,,,
,,Ведение справочника компонентов и операций оборудования,,3,,,
,Формирование состава компонентов и операций к ТОР по файлам,Формирование справочника компонентов из источников на ТОР,,2,,,
,,Обогащение справочника компонентов на ТОР данными из интернета,,2,,,
,,Обогащение справочника компонентов на ТОР данными из загруженнымх баз данных,,3,,,
,,Формирование справочника состава операций на компоненты ТОР из источников,Как на тор так и на компоненты,2,,,
,,Формирование справочника состава операций на компоненты ТОР из интернета,,2,,,
,,Ведение справочника ресурсов (специальности и квалификаций),,2,,,
,Обогащение состава операций ТОР профессиями,Привязка ресурсов к операциям на компонентах,,2,,,
,Формирваоние трудоемкости,Формирование трудоемкости операций на основании базы знаний,Будет загружена таблица с перечнем компонентов и операций с трудоазтартами по классам\подклассам и харрактиристикам (10-20 классов\подклассов) - как база знаний. На базе этой таблицы будет генириться данные по трудозатратам.,2,,,
,,Формирование трудоемкости операций на основании данных из интернета,,2,,,
,,Формирование трудоемкости операций на основании данных заказчика,,2,,,
,Формирование перечня ТМЦ на операции ТОР AOPL (***),Формирование перечней ТМЦ и ед. измерения на компоненты операции ТОР из источников,,2,,,
,,Формирование перечней ТМЦ и ед. измерения на компоненты операции ТОР из интернета,,2,,,
,,Формирование норм расхода ТМЦ на компоненты операции ТОР из источников,,2,,,
,,Формирование норм расхода ТМЦ на компоненты операции ТОР из интернета,,2,,,
,,Поиск аналогов AOPL,,2,,,
,,,,,,,
Спецификации на ТОР,Формирование перечня BOM по источнику,Формирование перечня BOM по источнику,,1,,,
,,Формирование перечня BOM по интернету,,1,,,
,,Поиск аналогов BOM,,1,,,
,,Формирование перечня APL по источнику,,1,,,
,,Формирование перечня APL по интернету,,1,,,
,,Поиск аналогов APL,,1,,,
